P	H
0.001		-35.379665
2		-35.3225283333
4		-35.2674383333
6		-35.2115483333
8		-35.1563316667
10		-35.099815
20		-34.82176
40		-34.2617616667
60		-33.7150233333
80		-33.168085
100		-32.6279083333
120		-32.0941733333
140		-31.56297
160		-31.0356833333
180		-30.5128983333
200		-29.9941033333
220		-29.4786916667
240		-28.9681966667
260		-28.4598633333
280		-27.9540733333
300		-27.4519966667
320		-26.9532633333
340		-26.4583666667
360		-25.96686
380		-25.4765833333
400		-24.9898166667

