P	H
0.001		-14.63373225
2		-14.604622
4		-14.5815465
6		-14.558403
8		-14.53601475
10		-14.51325425
20		-14.400184
40		-14.18279675
60		-13.9752595
80		-13.773489
100		-13.57840575
120		-13.389975
140		-13.2049735
160		-13.024915
180		-12.849493
200		-12.6777965
220		-12.508279
240		-12.3412745
260		-12.1792945
280		-12.01889475
300		-11.8607455
320		-11.7050145
340		-11.55122275
360		-11.39976775
380		-11.24979725
400		-11.10224075

