P	H
0.001		-23.170583
2		-23.1400975
4		-23.109843
6		-23.0797895
8		-23.049925
10		-23.019699
20		-22.869596
40		-22.57468
60		-22.2784295
80		-21.985392
100		-21.6920485
120		-21.402552
140		-21.114756
160		-20.8267845
180		-20.5427825
200		-20.2584825
220		-19.977677
240		-19.6981705
260		-19.418769
280		-19.1412975
300		-18.86604
320		-18.5922515
340		-18.3194205
360		-18.046628
380		-17.7782725
400		-17.5088585

