P	H
0.001	-254.5377
2	-254.0696
4	-253.60075
6	-253.13455
8	-252.670825
10	-252.2062
20	-249.88447
40	-245.2848775
60	-240.74884
80	-236.270035
100	-231.831765
120	-227.447745
140	-223.09153
160	-218.7930875
180	-214.5299375
200	-210.304955
220	-206.1369675
240	-201.9983425
260	-197.87562
280	-193.798935
300	-189.73044
320	-185.7190375
340	-181.7353525
360	-177.7903425
380	-173.864195
400	-169.957085

