P	H
0.001		-34.8736925
2		-34.82081
4		-34.7681325
6		-34.716285
8		-34.6648975
10		-34.6128975
20		-34.35292
40		-33.8383775
60		-33.32501
80		-32.817735
100		-32.31301
120		-31.8119125
140		-31.3148925
160		-30.821955
180		-30.3318925
200		-29.84393
220		-29.3620225
240		-28.8817975
260		-28.4047325
280		-27.9294875
300		-27.4577675
320		-26.9871575
340		-26.5197
360		-26.0539675
380		-25.5926825
400		-25.13588

