P	H
0.001		-35.9180375
2		-35.85215875
4		-35.78561125
6		-35.718975
8		-35.65229375
10		-35.585795
20		-35.25566
40		-34.60336875
60		-33.96373375
80		-33.3317675
100		-32.70766
120		-32.09041
140		-31.48069625
160		-30.87842375
180		-30.28274875
200		-29.6902125
220		-29.10360125
240		-28.522605
260		-27.94841125
280		-27.3795725
300		-26.815915
320		-26.25566875
340		-25.69903875
360		-25.14699375
380		-24.59919125
400		-24.05541625

